permno,date,ticker,mean_recommendation,recommendation_change,num_recommendations
87717,2020-03-31,EXPD,3.0,,2
87717,2020-07-31,EXPD,5.0,2.0,1
87717,2020-09-30,EXPD,3.0,-2.0,1
87717,2021-01-31,EXPD,4.0,1.0,1
87717,2021-03-31,EXPD,2.0,-2.0,1
87717,2021-07-31,EXPD,3.0,1.0,1
87717,2021-09-30,EXPD,1.0,-2.0,1
87717,2021-11-30,EXPD,2.0,1.0,1
87717,2021-12-31,EXPD,4.0,2.0,1
87717,2022-03-31,EXPD,3.0,-1.0,1
87717,2022-04-30,EXPD,3.0,0.0,1
87717,2022-07-31,EXPD,5.0,2.0,1
87717,2022-09-30,EXPD,3.0,-2.0,1
87717,2022-11-30,EXPD,3.5,0.5,2
87717,2022-12-31,EXPD,3.0,-0.5,2
87717,2023-01-31,EXPD,4.0,1.0,1
87717,2023-07-31,EXPD,4.0,0.0,1
87717,2023-08-31,EXPD,4.0,0.0,2
87717,2024-01-31,EXPD,4.0,0.0,1
87717,2024-03-31,EXPD,3.0,-1.0,1
87717,2024-05-31,EXPD,3.0,0.0,2
87717,2024-10-31,EXPD,5.0,2.0,1
87842,2019-12-31,MET,2.0,,1
87842,2020-01-31,MET,2.5,0.5,2
87842,2020-04-30,MET,2.0,-0.5,1
87842,2020-06-30,MET,1.0,-1.0,1
87842,2020-11-30,MET,2.0,1.0,1
87842,2020-12-31,MET,3.0,1.0,1
87842,2021-01-31,MET,2.0,-1.0,1
87842,2021-11-30,MET,2.0,0.0,1
87842,2021-12-31,MET,2.0,0.0,1
87842,2022-01-31,MET,1.75,-0.25,4
87842,2022-06-30,MET,1.0,-0.75,1
87842,2022-09-30,MET,3.0,2.0,1
87842,2022-12-31,MET,3.0,0.0,1
87842,2023-01-31,MET,3.0,0.0,3
87842,2023-09-30,MET,1.0,-2.0,1
87842,2023-10-31,MET,3.0,2.0,1
87842,2023-11-30,MET,2.5,-0.5,2
87842,2023-12-31,MET,2.0,-0.5,1
87842,2024-01-31,MET,2.0,0.0,1
87842,2024-09-30,MET,2.0,0.0,1
87842,2024-12-31,MET,1.0,-1.0,1
88031,2020-02-29,MNST,2.0,,1
88031,2020-03-31,MNST,2.0,0.0,2
88031,2020-04-30,MNST,1.6666666666666667,-0.33333333333333326,3
88031,2020-11-30,MNST,2.0,0.33333333333333326,1
88031,2020-12-31,MNST,2.0,0.0,1
88031,2021-01-31,MNST,3.0,1.0,1
88031,2021-02-28,MNST,2.0,-1.0,1
88031,2021-03-31,MNST,3.0,1.0,1
88031,2021-10-31,MNST,3.0,0.0,1
88031,2021-11-30,MNST,3.0,0.0,2
88031,2022-01-31,MNST,2.0,-1.0,1
88031,2022-02-28,MNST,3.0,1.0,1
88031,2022-05-31,MNST,1.0,-2.0,1
88031,2022-07-31,MNST,3.0,2.0,1
88031,2022-10-31,MNST,3.0,0.0,1
88031,2022-11-30,MNST,2.0,-1.0,2
88031,2022-12-31,MNST,2.0,0.0,1
88031,2023-03-31,MNST,2.5,0.5,2
88031,2023-06-30,MNST,3.0,0.5,1
88031,2023-08-31,MNST,2.0,-1.0,2
88031,2023-10-31,MNST,2.5,0.5,2
88031,2023-11-30,MNST,1.0,-1.5,1
88031,2023-12-31,MNST,3.0,2.0,1
88031,2024-04-30,MNST,3.5,0.5,2
88031,2024-05-31,MNST,2.0,-1.5,1
88031,2024-06-30,MNST,4.0,2.0,1
